minute,player_id,player,receiver_id,receiver,x,y
46,433572.0,Bilal El Khannouss,87182.0,Jannik Vestergaard,64.3,4.3
47,318750.0,Stephy Mavididi,416970.0,Victor Kristiansen,77.7,100.0
47,87182.0,Jannik Vestergaard,97710.0,Conor Coady,46.4,86.0
47,97710.0,Conor Coady,364215.0,Oliver Skipp,43.9,49.6
47,364215.0,Oliver Skipp,433572.0,Bilal El Khannouss,52.9,41.9
45,433572.0,Bilal El Khannouss,99165.0,Danny Ward,50.1,50.1
45,143990.0,Harry Winks,97710.0,Conor Coady,59.9,23.9
45,97710.0,Conor Coady,143990.0,Harry Winks,50.8,20.1
45,143990.0,Harry Winks,433572.0,Bilal El Khannouss,56.4,27.9
45,433572.0,Bilal El Khannouss,416970.0,Victor Kristiansen,60.2,50.6
45,416970.0,Victor Kristiansen,318750.0,Stephy Mavididi,49.6,65.5
45,318750.0,Stephy Mavididi,416970.0,Victor Kristiansen,58.4,86.2
45,416970.0,Victor Kristiansen,299693.0,Wout Faes,43.5,70.0
45,345664.0,Boubakary Soumaré,67491.0,Jordan Ayew,60.9,33.4
45,301441.0,James Justin,143990.0,Harry Winks,67.5,25.0
45,143990.0,Harry Winks,299693.0,Wout Faes,52.0,27.0
45,299693.0,Wout Faes,97710.0,Conor Coady,46.4,36.0
45,97710.0,Conor Coady,143990.0,Harry Winks,47.5,11.9
45,143990.0,Harry Winks,299693.0,Wout Faes,54.4,30.4
45,299693.0,Wout Faes,416970.0,Victor Kristiansen,47.5,50.4
45,416970.0,Victor Kristiansen,299693.0,Wout Faes,48.5,66.0
45,299693.0,Wout Faes,143990.0,Harry Winks,45.0,49.0
45,143990.0,Harry Winks,299693.0,Wout Faes,53.6,42.5
45,299693.0,Wout Faes,301441.0,James Justin,47.0,44.8
46,416970.0,Victor Kristiansen,299693.0,Wout Faes,45.7,100.0
46,299693.0,Wout Faes,345664.0,Boubakary Soumaré,35.5,83.6
46,345664.0,Boubakary Soumaré,143990.0,Harry Winks,46.9,73.2
46,143990.0,Harry Winks,97710.0,Conor Coady,51.6,51.9
46,97710.0,Conor Coady,299693.0,Wout Faes,46.2,30.1
46,299693.0,Wout Faes,433572.0,Bilal El Khannouss,48.4,50.4
46,433572.0,Bilal El Khannouss,416970.0,Victor Kristiansen,55.5,76.9
46,416970.0,Victor Kristiansen,299693.0,Wout Faes,47.5,67.9
46,299693.0,Wout Faes,345664.0,Boubakary Soumaré,52.9,53.3
46,345664.0,Boubakary Soumaré,318750.0,Stephy Mavididi,59.4,80.0
46,318750.0,Stephy Mavididi,433572.0,Bilal El Khannouss,66.6,96.2
46,433572.0,Bilal El Khannouss,318750.0,Stephy Mavididi,68.5,85.7
46,318750.0,Stephy Mavididi,416970.0,Victor Kristiansen,64.9,93.0
46,416970.0,Victor Kristiansen,299693.0,Wout Faes,52.1,81.5
46,299693.0,Wout Faes,97710.0,Conor Coady,47.2,57.8
47,97710.0,Conor Coady,299693.0,Wout Faes,45.7,42.7
47,299693.0,Wout Faes,416970.0,Victor Kristiansen,43.4,62.3
47,416970.0,Victor Kristiansen,433572.0,Bilal El Khannouss,44.9,91.2
47,433572.0,Bilal El Khannouss,416970.0,Victor Kristiansen,48.3,98.0
47,416970.0,Victor Kristiansen,299693.0,Wout Faes,36.9,94.7
48,416970.0,Victor Kristiansen,299693.0,Wout Faes,34.0,89.7
48,299693.0,Wout Faes,345664.0,Boubakary Soumaré,24.7,66.3
48,345664.0,Boubakary Soumaré,143990.0,Harry Winks,34.5,63.9
48,143990.0,Harry Winks,301441.0,James Justin,40.4,41.2
48,301441.0,James Justin,67491.0,Jordan Ayew,53.9,4.4
48,67491.0,Jordan Ayew,67491.0,Jordan Ayew,66.5,6.5
48,97710.0,Conor Coady,299693.0,Wout Faes,56.1,16.5
48,299693.0,Wout Faes,416970.0,Victor Kristiansen,46.7,34.5
49,416970.0,Victor Kristiansen,345664.0,Boubakary Soumaré,53.8,83.3
49,345664.0,Boubakary Soumaré,433572.0,Bilal El Khannouss,52.8,68.7
49,433572.0,Bilal El Khannouss,345664.0,Boubakary Soumaré,59.5,68.7
49,345664.0,Boubakary Soumaré,416970.0,Victor Kristiansen,52.7,69.3
52,301441.0,James Justin,97710.0,Conor Coady,34.2,0.0
52,97710.0,Conor Coady,299693.0,Wout Faes,23.2,15.9
52,299693.0,Wout Faes,143990.0,Harry Winks,34.8,47.8
52,143990.0,Harry Winks,301441.0,James Justin,38.1,33.3
53,97710.0,Conor Coady,299693.0,Wout Faes,50.3,2.2
53,299693.0,Wout Faes,143990.0,Harry Winks,37.2,31.9
53,143990.0,Harry Winks,416970.0,Victor Kristiansen,45.4,51.0
53,416970.0,Victor Kristiansen,312670.0,Hamza Choudhury,44.3,70.0
53,312670.0,Hamza Choudhury,97710.0,Conor Coady,47.0,44.0
53,97710.0,Conor Coady,299693.0,Wout Faes,42.3,15.2
53,299693.0,Wout Faes,416970.0,Victor Kristiansen,39.8,44.3
53,416970.0,Victor Kristiansen,67491.0,Jordan Ayew,40.0,73.6
53,67491.0,Jordan Ayew,299693.0,Wout Faes,41.3,75.1
53,299693.0,Wout Faes,97710.0,Conor Coady,38.0,41.8
53,97710.0,Conor Coady,299693.0,Wout Faes,45.6,35.1
53,299693.0,Wout Faes,312670.0,Hamza Choudhury,45.9,43.9
53,312670.0,Hamza Choudhury,143990.0,Harry Winks,52.8,40.7
53,143990.0,Harry Winks,67491.0,Jordan Ayew,53.6,52.8
54,318750.0,Stephy Mavididi,143990.0,Harry Winks,88.3,100.0
54,143990.0,Harry Winks,318750.0,Stephy Mavididi,73.4,96.8
54,318750.0,Stephy Mavididi,345664.0,Boubakary Soumaré,78.7,96.2
54,345664.0,Boubakary Soumaré,416970.0,Victor Kristiansen,73.1,83.3
54,416970.0,Victor Kristiansen,299693.0,Wout Faes,61.9,91.2
54,299693.0,Wout Faes,318750.0,Stephy Mavididi,58.0,72.9
55,318750.0,Stephy Mavididi,143990.0,Harry Winks,55.4,88.9
55,143990.0,Harry Winks,134332.0,Bobby De Cordova-Reid,46.9,69.1
55,134332.0,Bobby De Cordova-Reid,312670.0,Hamza Choudhury,54.3,44.2
55,312670.0,Hamza Choudhury,143990.0,Harry Winks,46.7,47.5
55,143990.0,Harry Winks,67491.0,Jordan Ayew,58.6,68.5
55,67491.0,Jordan Ayew,345664.0,Boubakary Soumaré,73.9,69.1
55,345664.0,Boubakary Soumaré,67491.0,Jordan Ayew,71.2,55.8
55,67491.0,Jordan Ayew,134332.0,Bobby De Cordova-Reid,71.6,41.0
55,134332.0,Bobby De Cordova-Reid,312670.0,Hamza Choudhury,75.1,15.0
55,312670.0,Hamza Choudhury,97710.0,Conor Coady,68.3,24.9
